2017-05-05 13:56:33,471 [Worker-88] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-05 14:03:28,023 [Worker-93] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-05-05 14:03:28,023 [Worker-93] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1 resource
2017-05-05 14:03:28,026 [Worker-93] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-05-05 14:03:28,026 [Worker-93] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-05 14:05:03,763 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-05-05 14:05:03,768 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-05-05 14:05:03,770 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-05-05 14:05:03,770 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-05 14:05:37,880 [Worker-93] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-05-05 14:05:37,880 [Worker-93] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-05-05 14:05:37,881 [Worker-93] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-05-05 14:05:37,881 [Worker-93] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-05 14:06:08,915 [Worker-92] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-05-05 14:06:08,915 [Worker-92] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-05-05 14:06:08,917 [Worker-92] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-05-05 14:06:08,917 [Worker-92] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-05 14:06:28,923 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-05-05 14:06:28,923 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 4 resources
2017-05-05 14:06:28,925 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Using 'UTF-8' encoding to copy filtered resources.
2017-05-05 14:06:28,925 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
